car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Maruti Alto K10,51,Petrol,998,3,5.0,Automatic,27.0,Hatchback,4.5,399000,583000,89.0,3500,65.71,5500
Maruti Brezza,86,Petrol,1462,4,5.0,Automatic,48.0,SUV,4.5,799000,1396000,136.8,4400,101.65,6000
Mahindra Thar,242,Diesel,2184,4,4.0,Automatic,57.0,SUV,4.5,1353000,1603000,300.0,2800,130.0,3750
Mahindra XUV700,313,Diesel,2198,4,7.0,Automatic,60.0,SUV,4.5,1318000,2458000,450.0,2800,182.38,3500
Mahindra Scorpio-N,107,Diesel,2198,4,7.0,Automatic,57.0,SUV,4.5,1199000,2390000,400.0,2750,172.45,3500
Toyota Fortuner,99,Diesel,2755,4,7.0,Automatic,80.0,SUV,4.5,3240000,4957000,500.0,2800,201.15,3400
Hyundai Creta,731,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,1044000,1818000,250.0,2750,113.45,4000
Tata Punch,381,Petrol,1199,3,5.0,Automatic,37.0,SUV,4.5,593000,949000,113.0,3400,84.48,6000
Mahindra Bolero,107,Diesel,1498,3,7.0,Manual,60.0,SUV,4.5,933000,1026000,210.0,2200,74.96,3600
Maruti Swift,205,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.0,592000,885000,113.0,4400,88.5,6000
Tata Nexon,568,Diesel,1497,4,5.0,Automatic,44.0,SUV,4.5,760000,1408000,260.0,2750,108.49,4000
Hyundai Venue,36,Petrol,998,3,5.0,Automatic,45.0,SUV,4.5,753000,1272000,172.0,4000,118.41,6000
Kia Seltos,2171,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,1049000,1865000,250.0,2750,113.43,4000
Hyundai Tucson,8,Diesel,1997,4,5.0,Automatic,54.0,SUV,4.5,2770000,3454000,416.0,2750,183.72,4000
Tata Harrier,2392,Diesel,1956,4,5.0,Automatic,50.0,SUV,4.5,1470000,2220000,350.0,2500,167.67,3750
Maruti Baleno,137,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,649000,971000,113.0,4400,88.5,6000
Toyota Innova Crysta,91,Diesel,2393,4,8.0,Automatic,55.0,MUV,4.5,1786000,2654000,360.0,2600,148.0,3400
Maruti Ertiga,110,Petrol,1462,4,7.0,Automatic,45.0,MUV,4.5,835000,1279000,136.8,4400,101.65,6000
Kia Sonet,523,Diesel,1493,4,5.0,Automatic,45.0,SUV,4.0,749000,1379000,250.0,2750,113.43,4000
Maruti Dzire,245,Petrol,1197,4,5.0,Automatic,37.0,Sedan,4.5,624000,918000,113.0,4400,88.5,6000
Honda City 4th Generation,1067,Petrol,1497,4,5.0,Manual,40.0,Sedan,4.5,950000,1000000,145.0,4600,117.6,6600
Land Rover Range Rover,17,Petrol,4367,8,7.0,Automatic,90.0,SUV,4.5,23900000,41700000,700.0,3000,345.98,4000
Tata Tiago,435,CNG,1199,3,5.0,Manual,60.0,Hatchback,4.5,540000,782000,95.0,3500,72.0,6000
Hyundai i20,432,Petrol,998,3,5.0,Automatic,37.0,Hatchback,3.5,703000,1154000,171.62,4000,118.36,6000
Mahindra XUV300,2245,Diesel,1497,4,5.0,Automatic,42.0,SUV,4.5,841000,1407000,300.0,2500,115.0,3750
MG Hector,200,Diesel,1956,4,5.0,Manual,60.0,SUV,4.0,1415000,2011000,350.0,2500,167.68,3750
Tata Altroz,1025,Diesel,1497,4,5.0,Manual,37.0,Hatchback,4.5,630000,1025000,200.0,3000,88.77,4000
Mahindra Scorpio Classic,14,Diesel,2184,4,7.0,Manual,60.0,SUV,4.5,1199000,1549000,300.0,2800,130.07,3750
Hyundai Verna,234,Diesel,1493,4,5.0,Automatic,45.0,Sedan,4.5,941000,1545000,250.0,2750,113.45,4000
